Iterations,Seconds,Score
407250000,1746737643,1.496094
407260000,1746737644,1.496094
407270000,1746737644,1.496094
407280000,1746737645,1.496094
407290000,1746737645,1.496094
407300000,1746737646,1.496094
407310000,1746737646,1.496094
407320000,1746737646,1.496094
407330000,1746737647,1.496094
407340000,1746737647,1.496094
407350000,1746737648,1.496094
407360000,1746737648,1.496094
407370000,1746737649,1.496094
407380000,1746737649,1.496094
407390000,1746737650,1.496094
407400000,1746737650,1.496094
407410000,1746737650,1.496094
407420000,1746737651,1.496094
407430000,1746737651,1.496094
407440000,1746737652,1.496094
407450000,1746737652,1.496094
407460000,1746737653,1.496094
407470000,1746737653,1.496094
407480000,1746737653,1.496094
407490000,1746737654,1.496094
407500000,1746737654,1.496094
407510000,1746737655,1.496094
407520000,1746737655,1.496094
407530000,1746737656,1.496094
407540000,1746737656,1.496094
407550000,1746737657,1.496094
407560000,1746737657,1.496094
407570000,1746737657,1.496094
407580000,1746737658,1.496094
407590000,1746737658,1.496094
407600000,1746737659,1.496094
407610000,1746737659,1.496094
407620000,1746737660,1.496094
407630000,1746737660,1.496094
407640000,1746737660,1.496094
407650000,1746737661,1.496094
407660000,1746737661,1.496094
407670000,1746737662,1.496094
407680000,1746737662,1.496094
407690000,1746737663,1.496094
407700000,1746737663,1.496094
407710000,1746737664,1.496094
407720000,1746737664,1.496094
407730000,1746737664,1.496094
407740000,1746737665,1.496094
407750000,1746737665,1.496094
407760000,1746737666,1.496094
407770000,1746737666,1.496094
407780000,1746737667,1.496094
407790000,1746737667,1.496094
407800000,1746737668,1.496094
407810000,1746737668,1.496094
407820000,1746737668,1.496094
407830000,1746737669,1.496094
407840000,1746737669,1.496094
407850000,1746737670,1.496094
407860000,1746737670,1.496094
407870000,1746737671,1.496094
407880000,1746737671,1.496094
407890000,1746737672,1.496094
407900000,1746737672,1.496094
407910000,1746737672,1.496094
407920000,1746737673,1.496094
407930000,1746737673,1.496094
407940000,1746737674,1.496094
407950000,1746737674,1.496094
407960000,1746737675,1.496094
407970000,1746737675,1.496094
407980000,1746737676,1.496094
407990000,1746737676,1.496094
408000000,1746737676,1.496094
408010000,1746737677,1.496094
408020000,1746737677,1.496094
408030000,1746737678,1.496094
408040000,1746737678,1.496094
408050000,1746737679,1.496094
408060000,1746737679,1.496094
408070000,1746737680,1.496094
408080000,1746737680,1.496094
408090000,1746737680,1.496094
408100000,1746737681,1.496094
408110000,1746737681,1.496094
408120000,1746737682,1.496094
408130000,1746737682,1.496094
408140000,1746737683,1.496094
408150000,1746737683,1.496094
408160000,1746737684,1.496094
408170000,1746737684,1.496094
408180000,1746737684,1.496094
408190000,1746737685,1.496094
408200000,1746737685,1.496094
408210000,1746737686,1.496094
408220000,1746737686,1.496094
408230000,1746737687,1.496094
408240000,1746737687,1.496094
408250000,1746737687,1.496094
408260000,1746737688,1.496094
408270000,1746737688,1.496094
408280000,1746737689,1.496094
408290000,1746737689,1.496094
408300000,1746737690,1.496094
408310000,1746737690,1.496094
408320000,1746737691,1.496094
408330000,1746737691,1.496094
408340000,1746737691,1.496094
408350000,1746737692,1.496094
408360000,1746737692,1.496094
408370000,1746737693,1.496094
408380000,1746737693,1.496094
408390000,1746737694,1.496094
408400000,1746737694,1.496094
408410000,1746737695,1.496094
408420000,1746737695,1.496094
408430000,1746737696,1.496094
408440000,1746737696,1.496094
408450000,1746737696,1.496094
408460000,1746737697,1.496094
408470000,1746737697,1.496094
408480000,1746737698,1.496094
408490000,1746737698,1.496094
408500000,1746737699,1.496094
408510000,1746737699,1.496094
408520000,1746737700,1.496094
408530000,1746737700,1.496094
408540000,1746737700,1.496094
408550000,1746737701,1.496094
408560000,1746737701,1.496094
408570000,1746737702,1.496094
408580000,1746737702,1.496094
408590000,1746737703,1.496094
408600000,1746737703,1.496094
408610000,1746737703,1.496094
408620000,1746737704,1.496094
408630000,1746737704,1.496094
408640000,1746737705,1.496094
408650000,1746737705,1.496094
408660000,1746737706,1.496094
408670000,1746737706,1.496094
408680000,1746737707,1.496094
408690000,1746737707,1.496094
408700000,1746737708,1.496094
408710000,1746737708,1.496094
408720000,1746737708,1.496094
408730000,1746737709,1.496094
408740000,1746737709,1.496094
408750000,1746737710,1.496094
408760000,1746737710,1.496094
408770000,1746737711,1.496094
408780000,1746737711,1.496094
408790000,1746737712,1.496094
408800000,1746737712,1.496094
408810000,1746737712,1.496094
408820000,1746737713,1.496094
408830000,1746737713,1.496094
408840000,1746737714,1.496094
408850000,1746737714,1.496094
408860000,1746737715,1.496094
408870000,1746737715,1.496094
408880000,1746737716,1.496094
408890000,1746737716,1.496094
408900000,1746737717,1.496094
408910000,1746737717,1.496094
408920000,1746737717,1.496094
408930000,1746737718,1.496094
408940000,1746737718,1.496094
408950000,1746737719,1.496094
408960000,1746737719,1.496094
408970000,1746737720,1.496094
408980000,1746737720,1.496094
408990000,1746737721,1.496094
409000000,1746737721,1.496094
409010000,1746737721,1.496094
